id,name,real_x,real_y,real_z,temperature,humidity,speed_of_sound,beamforming_max_x,beamforming_max_y,beamforming_max_z,beamforming_dist,beamforming_dist_xy,x_mean,y_mean,z_mean,s_mean,std_x,std_y,std_z,std_s,iqr_dist,coord_std,coord_std_xy,mean_dist,median_dist,mean_dist_xy,median_dist_xy,mean_diff_x,mean_diff_y,mean_diff_z,accuracy_1cm,accuracy_1cm_xy,accuracy_2cm,accuracy_2cm_xy,accuracy_5cm,accuracy_5cm_xy,accuracy_10cm,accuracy_10cm_xy,accuracy_15cm,accuracy_15cm_xy,accuracy_20cm,accuracy_20cm_xy,accuracy_30cm,accuracy_30cm_xy,accuracy_40cm,accuracy_40cm_xy,accuracy_50cm,accuracy_50cm_xy,accuracy_60cm,accuracy_60cm_xy,mae_x,mae_y,mae_z,mae_xy,mae_coord
1,"Group 4, Number 1",0.0,0.005,1.54,22.684824902723733,49.15388723582818,416.03648248901015,-0.04999999999999982,-0.04999999999999982,-1.5,3.0409085813289423,3.0409085813289423,-0.04383046809156976,0.008461047037122093,1.5984311462209304,129.39370177325583,0.053422849997114025,0.055147447828282375,0.02171545107192229,1.1964265545212693,0.03889592188274292,0.0434285829657729,0.0542851489126982,0.10308654381125654,0.09833892135420914,0.0798430011139842,0.0759610284590638,0.05816838478604649,0.04218007159369184,0.058431146220930145,0.0,0.0,0.0,0.023255813953488372,0.011627906976744186,0.19767441860465115,0.5232558139534884,0.7674418604651163,0.9186046511627907,0.9418604651162791,0.9883720930232558,0.9883720930232558,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05816838478604649,0.04218007159369184,0.0584311462209302,0.050174228189869156,0.052926534200222836
2,"Group 4, Number 2",-0.595,0.005,1.54,22.813000686655982,49.250019073777366,416.7740733649628,0.0,0.0,-1.5,3.0976846191954404,3.0976846191954404,0.013867042315732554,0.06140351683328487,1.5803966209302325,129.80002267151167,0.04526117197048213,0.047990642483649516,0.02528185619160241,1.2330400977882099,0.06065745830349534,0.039511223548578014,0.04662590722706582,0.6152562093753468,0.6128778140328643,0.6134135235405801,0.6110384189049785,0.6088670423157326,0.06632197521119183,0.041610680813953416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38372093023255816,0.3953488372093023,0.6088670423157326,0.06632197521119185,0.04161068081395347,0.3375945087634622,0.23893323278029263
3,"Group 4, Number 3",-0.86,0.005,1.54,22.869077592126345,49.23170824750133,417.0170914752206,0.050000000000000044,-0.04999999999999982,-1.5,3.173755661672776,3.173755661672776,0.1123673823790116,-0.028814797165633715,1.6160614453488371,129.60000948837208,0.06137684726118717,0.04672856127732372,0.03001672191168332,1.1636018075559287,0.061266648611562724,0.04604071015006473,0.054052704269255444,0.9776179709125813,0.9795813648073906,0.9742077963013518,0.9756859464316737,0.9723673823790114,0.039451527138308115,0.07606144534883713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9723673823790114,0.03945152713830812,0.07606144534883717,0.5059094547586598,0.36262678495538553
4,"Group 4, Number 4",-1.115,0.005,1.54,22.938506141756307,49.23933775844968,417.3594919210785,-0.04999999999999982,-0.04999999999999982,-1.5,3.221622262153029,3.221622262153029,-0.0044549777857848865,0.019069520472238366,1.586439108139535,126.41663320058142,0.03721538203905962,0.03959293441155023,0.027239223906534403,0.9253190624729322,0.05168049959660315,0.034682513452381415,0.03840415822530492,1.1126341063882452,1.1144523264571267,1.1113355161462917,1.1117936179062275,1.110545022214215,0.032652887510029045,0.04760987965116268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.110545022214215,0.03265288751002906,0.047609879651162756,0.5715989548621221,0.3969359297918023
5,"Group 4, Number 5",-0.985,0.005,1.54,22.938506141756307,49.24086366063935,417.3615516784522,-0.09999999999999987,-0.04999999999999982,-1.5,3.166678070154906,3.166678070154906,0.015683893231569768,0.005235870833720927,1.6075184415697676,126.74177073546511,0.0648756679792165,0.033940187832818124,0.026543162253657892,1.069346746226611,0.09280451759141184,0.04178633935523083,0.04940792790601731,1.0038684209094022,0.9973509688894998,1.0012598988149,0.9952158701599497,1.0006838932315696,0.027189358280232532,0.06824680610465107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0006838932315696,0.027189358280232535,0.06824680610465113,0.5139366257559012,0.3653733525388178
6,"Group 4, Number 6",0.0,0.005,1.909,22.95185778591592,49.24391546501869,417.4296527586118,0.10000000000000009,0.0,-1.5,3.410470055578849,3.410470055578849,0.1260055612633721,0.04364795571427324,1.6009624375,131.16984072674418,0.034784033979824026,0.023950166108614376,0.03272472223598063,1.2780911302072284,0.03665855408859242,0.03048630744147301,0.0293671000442192,0.33769986858891443,0.3409196278201166,0.13394335964567244,0.13205858725317235,0.1260055612633721,0.040707260568924396,0.3080375625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16279069767441862,0.0,0.6744186046511628,0.0,0.9534883720930233,0.13953488372093023,1.0,0.9767441860465116,1.0,1.0,1.0,1.0,1.0,0.1260055612633721,0.040707260568924396,0.30803756250000003,0.08335641091614825,0.15825012811076553
7,"Group 4, Number 7",0.0,0.005,1.805,22.981231403067056,49.25917448691538,417.5911739706719,0.10000000000000009,-0.04999999999999982,-1.5,3.306969912170354,3.306969912170354,0.17352694520581394,-0.003803975520639532,1.6218257264534885,131.6898559011628,0.0393110036780074,0.02817680885697181,0.03174352353609068,0.9660427562627769,0.03212212345868082,0.033077112023689965,0.033743906267489604,0.2575465014879758,0.25502433699804955,0.1759639397391417,0.1757249015068302,0.17352694520581394,0.02325510001017439,0.18317427354651153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.2558139534883721,0.023255813953488372,0.7674418604651163,0.9418604651162791,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17352694520581394,0.023255100010174397,0.18317427354651153,0.09839102260799416,0.12665210625416662
8,"Group 4, Number 8",0.0,0.005,1.67,23.00793469138628,49.30342565041581,417.77935833716816,0.050000000000000044,-0.04999999999999982,-1.5,3.170871331353576,3.170871331353576,0.14201563730601743,-0.0538124339361337,1.6282447825581394,129.89399191860466,0.05015983414104831,0.051404969462330814,0.02139305886607372,1.118350964319388,0.05911249703082569,0.04098595415648428,0.05078240180168957,0.16989798883272628,0.1653898639065186,0.16233978006600527,0.15845248370520332,0.14201563730601743,0.06491278062218021,0.04175521744186034,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.09302325581395349,0.36046511627906974,0.4418604651162791,0.7558139534883721,0.8023255813953488,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14201563730601743,0.06491278062218021,0.041755217441860386,0.1034642089640988,0.08289454512335266
9,"Group 4, Number 9",-0.86,0.005,1.67,23.06668192568857,49.295796139467456,418.051783929547,0.10000000000000009,-0.04999999999999982,-1.5,3.312631129480009,3.312631129480009,0.15699942595232558,-0.011561154249075572,1.611199049418605,128.1844292645349,0.06279961841264499,0.038672497603055425,0.02953608932297709,1.1908431890818718,0.08025096893794714,0.04366940177955917,0.05073605800785021,1.0200640750474848,1.0271620147450324,1.0179098067100611,1.0256528695073928,1.0169994259523256,0.029441974032215084,0.058834322093023125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0169994259523256,0.0294419740322151,0.05883432209302318,0.5232206999922704,0.3684252406925213
10,"Group 5, Number 1",0.0,0.005,2.12,23.15213244831007,49.38582436865797,418.5870917102706,-0.1499999999999999,-0.04999999999999982,-1.5,3.6235238373715717,3.6235238373715717,-0.08804690264767441,-0.022610373243401156,1.5393310968023257,126.8833888895349,0.04496455523918259,0.031731466062489284,0.03555522274387839,1.1004401097075094,0.04968848813187776,0.037417081348516755,0.038348010650835936,0.5905200191357853,0.5886028450109977,0.09979182881457316,0.0945618880519723,0.08937691353139533,0.03398467580316858,0.5806689031976745,0.0,0.0,0.0,0.023255813953488372,0.0,0.11627906976744186,0.0,0.5465116279069767,0.0,0.9069767441860465,0.0,0.9883720930232558,0.0,1.0,0.0,1.0,0.0,1.0,0.5930232558139535,1.0,0.08937691353139533,0.03398467580316859,0.5806689031976745,0.06168079466728197,0.2346768308440795
11,"Group 5, Number 2",0.0,0.005,1.9,22.70084687571527,47.22667277027542,413.53392614047465,0.0,-0.04999999999999982,-1.5,3.400444823842904,3.400444823842904,0.05937194758604648,-0.04223208790215114,1.5856458270348837,127.37333295639537,0.06829584387385872,0.03287139511418567,0.01856777921676151,1.1332245817073965,0.026250973782841525,0.039911672734935295,0.050583619494022194,0.3318933005203448,0.3334685481802515,0.09519020269132303,0.08912239687487744,0.07226009617906973,0.04869655053587207,0.3143541729651162,0.0,0.0,0.0,0.03488372093023256,0.0,0.1511627906976744,0.0,0.5697674418604651,0.0,0.8837209302325582,0.0,0.9651162790697675,0.06976744186046512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07226009617906973,0.048696550535872074,0.3143541729651162,0.060478323357470914,0.14510360656001933
12,"Group 5, Number 3",0.0,0.005,1.65,22.853055619134807,46.877241168841074,413.7633947350424,0.15000000000000013,0.050000000000000044,-1.5,3.1538904546607194,3.1538904546607194,0.19691173769941855,0.05378575508802323,1.5895013869186043,129.06714816860466,0.04852239427115306,0.04418423164408892,0.027890747353505437,1.0290627099276315,0.043261110609560366,0.04019912442291581,0.04635331295762099,0.21934423091420743,0.22128157757062078,0.20841284481872427,0.210463167879896,0.19691173769941855,0.05744043752697671,0.06070980552325567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05813953488372093,0.13953488372093023,0.3023255813953488,0.3953488372093023,0.9534883720930233,0.9534883720930233,1.0,1.0,1.0,1.0,1.0,1.0,0.19691173769941855,0.05744043752697671,0.06070980552325573,0.12717608761319762,0.10502066024988366
13,"Group 5, Number 5",0.0,0.005,1.49,22.89578088044556,46.90928511482414,414.0038384889622,-0.04999999999999982,-0.04999999999999982,-1.5,2.990923770342534,2.990923770342534,0.011409361970232554,-0.026273798101540687,1.5619079250000005,127.09887111627904,0.04512800135641561,0.03404445322079585,0.034285785938227675,1.1427695873685657,0.05459553818169073,0.03781941350514638,0.03958622728860573,0.09520352687388645,0.09173691877114995,0.056011547043324145,0.04630567424485485,0.035263977293720904,0.03800214526142439,0.07250648662790696,0.0,0.0,0.0,0.08139534883720931,0.06976744186046512,0.5232558139534884,0.6162790697674418,0.8604651162790697,0.872093023255814,0.9883720930232558,0.9883720930232558,0.9883720930232558,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.035263977293720904,0.038002145261424404,0.072506486627907,0.03663306127757266,0.04859086972768411
14,"Group 8, Number 1",0.41,0.005,1.665,22.770275425345236,47.18547341115434,413.7983968386434,0.050000000000000044,-0.04999999999999982,-1.5,3.185882923147051,3.185882923147051,0.058453496306191836,-0.034071260163866274,1.6483229462209301,120.78851296511628,0.05690349830387484,0.03863257433184017,0.035177553518895906,1.3374337314389568,0.07082224161368955,0.043571208718203636,0.047768036317857504,0.3576060558309472,0.36018338079117207,0.35556522898058396,0.3565201591617776,0.3515465036938081,0.044369124477819745,0.02997429215116274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16279069767441862,0.16279069767441862,0.7790697674418605,0.7906976744186046,0.9767441860465116,0.9883720930232558,1.0,1.0,0.3515465036938081,0.044369124477819745,0.029974292151162797,0.19795781408581403,0.14196330677426364
