id,name,real_x,real_y,real_z,temperature,humidity,speed_of_sound,beamforming_max_x,beamforming_max_y,beamforming_max_z,beamforming_dist,beamforming_dist_xy,x_mean,y_mean,z_mean,s_mean,std_x,std_y,std_z,std_s,iqr_dist,coord_std,coord_std_xy,mean_dist,median_dist,mean_dist_xy,median_dist_xy,mean_diff_x,mean_diff_y,mean_diff_z,accuracy_1cm,accuracy_1cm_xy,accuracy_2cm,accuracy_2cm_xy,accuracy_5cm,accuracy_5cm_xy,accuracy_10cm,accuracy_10cm_xy,accuracy_15cm,accuracy_15cm_xy,accuracy_20cm,accuracy_20cm_xy,accuracy_30cm,accuracy_30cm_xy,accuracy_40cm,accuracy_40cm_xy,accuracy_50cm,accuracy_50cm_xy,accuracy_60cm,accuracy_60cm_xy,mae_x,mae_y,mae_z,mae_xy,mae_coord
1,"Group 4, Number 1",0.0,0.005,1.54,22.684824902723733,49.15388723582818,416.03648248901015,0.0,-0.04999999999999982,1.5,0.0680073525436771,0.0680073525436771,0.07883434467411918,-0.1287094889488372,1.4950374476744186,128.82710861337208,0.03975969444904458,0.04812613083471928,0.020470703483412653,1.055744087038712,0.05241357448165543,0.03611884292239217,0.04394291264188193,0.16907932861335637,0.1638345625765974,0.16080093262988968,0.1560683708566597,0.07948467619737498,0.13370948894883722,0.045446397674418604,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.06976744186046512,0.36046511627906974,0.4418604651162791,0.7674418604651163,0.7906976744186046,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07948467619737498,0.13370948894883722,0.04544639767441865,0.10659708257310611,0.08621352094021029
2,"Group 4, Number 2",-0.595,0.005,1.54,22.813000686655982,49.250019073777366,416.7740733649628,-0.19999999999999996,-0.04999999999999982,1.5,0.4008116764766216,0.4008116764766216,-0.43904170439534895,-0.12713441562767436,1.4858288994186046,124.81922786918607,0.08547336282842052,0.05947392918182607,0.02516725672706562,1.1743021285234638,0.0730086945008091,0.05670484957910407,0.0724736460051233,0.22588766946566674,0.21254163760970865,0.21644203409017787,0.204972187758784,0.15595829560465113,0.13301985963930232,0.05417110058139532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.08139534883720931,0.16279069767441862,0.43023255813953487,0.4883720930232558,0.8604651162790697,0.8604651162790697,0.9767441860465116,0.9767441860465116,0.9883720930232558,0.9883720930232558,1.0,1.0,0.15595829560465116,0.13301985963930232,0.054171100581395376,0.14448907762197669,0.11438308527511624
3,"Group 4, Number 3",-0.86,0.005,1.54,22.869077592126345,49.23170824750133,417.0170914752206,-0.2999999999999998,0.0,1.5,0.5614490181663871,0.5614490181663871,-0.49910786403488366,0.07239836587320929,1.462513610755814,127.98801569767443,0.09075823298959557,0.07803041291759667,0.04996556888082304,1.369868441430361,0.11891689386266158,0.0729180715960051,0.08439432295359611,0.3877830221589322,0.3672388490339017,0.37515027269658374,0.35434124827604374,0.36089213596511627,0.08663596353958135,0.07940562819767441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1511627906976744,0.1744186046511628,0.6046511627906976,0.6395348837209303,0.9069767441860465,0.9069767441860465,0.9767441860465116,0.9767441860465116,0.3608921359651163,0.08663596353958138,0.07940562819767445,0.2237640497523488,0.17564457590079066
4,"Group 4, Number 4",-1.115,0.005,1.54,22.938506141756307,49.23933775844968,417.3594919210785,-1.5,-0.2999999999999998,0.1499999999999999,1.474228611850957,1.474228611850957,-0.5733407584854652,-0.0754723460607558,1.4139692529069767,125.16363309011628,0.10598124686227246,0.08683297172061494,0.04916230947732969,1.2586649966691403,0.09987950890620145,0.08065884268673902,0.0964071092914437,0.5723644234871372,0.5473605534081102,0.5545139334842631,0.53159609312681,0.5416592415145349,0.09878295838459299,0.12603074709302325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.011627906976744186,0.23255813953488372,0.37209302325581395,0.686046511627907,0.7209302325581395,0.5416592415145349,0.09878295838459299,0.1260307470930233,0.32022109994956394,0.25549098233071704
5,"Group 4, Number 5",-0.985,0.005,1.54,22.938506141756307,49.24086366063935,417.3615516784522,-1.45,-0.34999999999999987,0.2999999999999998,1.3710762196172759,1.3710762196172759,-0.5201141186715117,-0.05394609036167441,1.4080254279069768,124.02687636046512,0.07906659959907378,0.06428662751923245,0.04095787817119996,0.997551250867784,0.0810441152118202,0.06143703509650206,0.07167661355915311,0.4943338636617408,0.49431278156218456,0.4731880194469811,0.47263696631074703,0.46488588132848835,0.07232115986923254,0.13197457209302327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.12790697674418605,0.5465116279069767,0.6511627906976745,0.9418604651162791,0.9418604651162791,0.4648858813284884,0.07232115986923254,0.13197457209302332,0.2686035205988604,0.22306053776358137
6,"Group 4, Number 6",0.0,0.005,1.909,22.95185778591592,49.24391546501869,417.4296527586118,0.050000000000000044,-0.04999999999999982,1.5,0.41569941063224997,0.41569941063224997,0.1143732764892442,-0.18323564322130811,1.5228802058139534,127.72813282267447,0.04887162320143689,0.07385107908349227,0.016682529964082024,0.9950485989965605,0.05197695877511782,0.0464684107496704,0.061361351142464576,0.45195601656084095,0.445682715061051,0.22707006055090187,0.22779498359309955,0.11560930581482559,0.18823564322130817,0.38611979418604647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03488372093023256,0.0,0.1511627906976744,0.0,0.313953488372093,0.0,0.8604651162790697,0.06976744186046512,1.0,0.8837209302325582,1.0,1.0,1.0,0.11560930581482559,0.18823564322130812,0.3861197941860466,0.15192247451806687,0.22998824774072676
7,"Group 4, Number 7",0.0,0.005,1.805,22.981231403067056,49.25917448691538,417.5911739706719,0.050000000000000044,-0.09999999999999987,1.5,0.3264199748789892,0.3264199748789892,0.07655375535619185,-0.20274355008168607,1.539009152616279,126.04248685465119,0.08623047702098283,0.07228048154760981,0.01632516616812648,1.2023592193032822,0.049570257624436787,0.058278708245573047,0.07925547928429633,0.36066005491830133,0.35515051569989575,0.23611754591806317,0.23131587746773513,0.09386606095252906,0.20774355008168596,0.26599084738372086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.12790697674418605,0.0,0.26744186046511625,0.06976744186046512,0.813953488372093,0.813953488372093,0.9883720930232558,1.0,1.0,1.0,1.0,0.09386606095252906,0.20774355008168596,0.2659908473837209,0.15080480551710754,0.18920015280597866
8,"Group 4, Number 8",0.0,0.005,1.67,23.00793469138628,49.30342565041581,417.77935833716816,0.050000000000000044,-0.04999999999999982,1.5,0.1855397531527946,0.1855397531527946,0.12497650151874999,-0.16335918141773256,1.5463599904069765,127.80500601453487,0.06413281893518644,0.059382220525700066,0.016343115539248852,1.1652352830423676,0.06873108464222338,0.046619385000045116,0.06175751973044325,0.25435364141019495,0.2515993040487326,0.2199018269424573,0.22087443297794263,0.1267546480885174,0.1683591814177325,0.12364000959302311,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.023255813953488372,0.023255813953488372,0.10465116279069768,0.1511627906976744,0.32558139534883723,0.872093023255814,0.9302325581395349,1.0,1.0,1.0,1.0,1.0,1.0,0.1267546480885174,0.1683591814177325,0.12364000959302315,0.147556914753125,0.13958461303309103
9,"Group 4, Number 9",-0.86,0.005,1.67,23.06668192568857,49.295796139467456,418.051783929547,-0.2999999999999998,-0.09999999999999987,1.5,0.5945796834739647,0.5945796834739647,-0.33411869595639543,-0.3498904044476744,1.4853225066860467,125.23739426162791,0.1254611289984156,0.059375857368511226,0.041948676662295487,1.1145803888875805,0.15624640162569137,0.07559522100974077,0.09241849318346342,0.6688392270020566,0.6595218840795621,0.6390568560766391,0.6387054841890731,0.5258813040436047,0.35489040444767445,0.1846774933139534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03488372093023256,0.046511627906976744,0.09302325581395349,0.26744186046511625,0.38372093023255816,0.5258813040436047,0.35489040444767445,0.18467749331395342,0.44038585424563964,0.35514973393507754
10,"Group 5, Number 1",0.0,0.005,2.12,23.15213244831007,49.38582436865797,418.5870917102706,0.0,-0.04999999999999982,1.5,0.6224347355345781,0.6224347355345781,0.015702186876744188,-0.17676976517499998,1.543808475581395,125.25400212209301,0.04677859211853787,0.08269350332165995,0.02417988257826791,1.120569979799441,0.033179860192898536,0.05121732600615525,0.06473604772009892,0.6112589621488319,0.6081036848700926,0.1905816797795595,0.18536653811604664,0.03981860932906975,0.18291016866337206,0.576191524418605,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.09302325581395349,0.0,0.3023255813953488,0.0,0.5697674418604651,0.0,0.9302325581395349,0.0,0.9883720930232558,0.0,0.9883720930232558,0.32558139534883723,1.0,0.03981860932906975,0.18291016866337206,0.5761915244186049,0.1113643889962209,0.2663067674703489
